AGAF,AGGG
AGAR,AGGG
AGAT,AGGG
AGBA,AGGG
AGBT,AGGG
AGEV,AGGG
AGGA,AGGG
AGGB,AGGG
AGGC,AGGG
AGGE,AGGG
AGGF,AGGG
AGGH,AGGG
AGGI,AGGG
AGGJ,AGGG
AGGK,AGGG
AGGL,AGGG
AGGM,AGGG
AGGN,AGGG
AGGO,AGGG
AGGP,AGGG
AGGQ,AGGG
AGGR,AGGG
AGGS,AGGG
AGGT,AGGG
AGGU,AGGG
AGGV,AGGG
AGGY,AGGG
AGJO,AGGG
AGKG,AGGG
AGKU,AGGG
AGKW,AGGG
AGLM,AGGG
AGNA,AGGG
AGOB,AGGG
AGOK,AGGG
AGRC,AGGG
AGRM,AGGG
AGVH,AGGG
ANYN,ANAU
AYAY,AYPM
AYBK,AYPM
AYBM,AYPM
AYBU,AYPM
AYCH,AYPM
AYDU,AYPM
AYFF,AYPM
AYGA,AYPM
AYGB,AYPM
AYGN,AYPM
AYGR,AYPM
AYHK,AYPM
AYIQ,AYPM
AYKA,AYPM
AYKG,AYPM
AYKI,AYPM
AYKK,AYPM
AYKM,AYPM
AYKT,AYPM
AYKV,AYPM
AYKY,AYPM
AYLA,AYPM
AYMD,AYPM
AYMH,AYPM
AYMN,AYPM
AYMO,AYPM
AYMR,AYPM
AYMS,AYPM
AYNZ,AYPM
AYOC,AYPM
AYPY,AYPM
AYRD,AYPM
AYTA,AYPM
AYTB,AYPM
AYTK,AYPM
AYTU,AYPM
AYVN,AYPM
AYWD,AYPM
AYWK,AYPM
AYXM,AYPM
BGAA,BGGL
BGBW,BGGL
BGCO,BGGL
BGDB,BGGL
BGDH,BGGL
BGGH,BGGL
BGJN,BGGL
BGKK,BGGL
BGMQ,BGGL
BGMV,BGGL
BGNO,BGGL
BGPC,BGGL
BGPT,BGGL
BGQQ,BGGL
BGSF,BGGL
BGSS,BGGL
BGTL,BGGL
BGUK,BGGL
BGUQ,BGGL
BIAR,BIRD_S1|BIRD|BIRD_S2|BIRD_S3
BIBA,BIRD_S1|BIRD|BIRD_S2|BIRD_S3
BIBD,BIRD_S1|BIRD|BIRD_S2|BIRD_S3
